Nahráno na Disk GS,Název souboru v databázi,ID písně,Název písně,v archivu,downloaded
,k47-vykupitel-zije.jpg,751,Vykupitel žije,not available,false
,k88-vzdej-dik.jpg,752,Vzdej dík,not available,false
,k169-zpivej-haleluja-panu.jpg,755,Zpívej haleluja Pánu,not available,false
,k201-zpivej-brzy-uz-prijde-pan.jpg,757,"Zpívej, brzy už přijde Pán",not available,false
,k15-chvalte-hospodina-zalm-117.jpg,772,Chvalte Hospodina,not available,false
,k130-abakuk.jpg,773,Abakuk,not available,false
,k126-kameny-chramove.jpg,777,Kameny chrámové,not available,false
,k57-pod-tvym-krizem.jpg,778,Pod Tvým křížem,not available,false
,k98-prijd-prijd-duchu-bozi.jpg,779,"Přijď, přijď, Duchu Boží",not available,false
,k153-tak-pojd-a-boha-chval.jpg,782,Tak pojď a Boha chval,not available,false
,k125-zpivej-aleluja.jpg,789,Zpívej haleluja,not available,false
,2ch-otce-nas.jpg,804,Otče náš,not available,false
,k82-ruah.jpg,807,Ruah,not available,false
,csmhk-ordinarium-miroslav-prikryl.pdf,812,Ordinárium M. Přikryla,not available,false
,ordinarium-prikryl-gloria.pdf,812,Ordinárium M. Přikryla,not available,false
,ordinarium-prikryl-credo.pdf,812,Ordinárium M. Přikryla,not available,false
,ordinarium-prikryl-credo-solo.pdf,812,Ordinárium M. Přikryla,not available,false
,k159-blizkost-tve-tvare.jpg,817,Blízkost Tvé tváře,not available,false
,k172-karmelske-ordinarium.jpg,836,Karmelské ordinárium,not available,false
,k207-ordinarium-ii-kyrie-gloria.jpg,840,Ordinárium (J. Černý),not available,false
,k207-ordinarium-ii-credo.jpg,840,Ordinárium (J. Černý),not available,false
,k207-ordinarium-ii-sanctus-agnus-dei.jpg,840,Ordinárium (J. Černý),not available,false
,801.pdf,856,Budiž vděčně velebena,not available,false
,k208-chci-byt-tvuj.jpg,863,Chci být Tvůj,not available,false
,k216-z-tve-ruky.jpg,872,Z tvé ruky,not available,false
,k90a-o-boze-svetlo-nase.jpg,879,"Ó, Bože, světlo naše",not available,false
,k227-ave-maria.jpg,881,Ave Maria,not available,false
,k70-ja-vim.jpg,883,Já vím,not available,false
,k219-jdu-k-bozim-dverim.jpg,884,Jdu k Božím dveřím,not available,false
,k228-k-obetovani.jpg,886,K obětování,not available,false
,k226-prived-nas-k-synu-svemu.jpg,890,Přiveď nás k Synu svému,not available,false
,k8-priznej-panu-jeho-moc-a-cest.jpg,891,Přiznej Pánu jeho moc a čest,not available,false
,k161-v-ten-den-kdy-pan.jpg,893,"V ten den, kdy Pán",not available,false
,k2a-zare-z-galileje.jpg,899,Záře z Galileje,not available,false
,k3-chvalme-pana-dal-nam-vitezstvi.jpg,900,"Chvalme Pána, dal nám vítězství",not available,false
,k4-pej-chvalu-nadhernemu-panu.jpg,901,Pěj chválu nádhernému Pánu,not available,false
,k5-ty-jsi-hoden.jpg,902,Ty jsi hoden,not available,false
,k6-bozi-beranku-tobe-patri-cest.jpg,903,"Boží Beránku, Tobě patří čest",not available,false
,k7-jsem-volny-haleluja.jpg,904,"Jsem volný, haleluja",not available,false
,k9-vejdi-do-meho-srdce.jpg,905,Vejdi do mého srdce,http://web.archive.org/web/20250322051112/https://zpevnik.proscholy.cz/soubor/k9-vejdi-do-meho-srdce.jpg,true
,k11-vsichni-sejdeme-se-v-nebi.jpg,906,Všichni sejdeme se v nebi,not available,false
,k12-chceme-ti-zazpivat.jpg,907,Chceme Ti zazpívat,not available,false
,k16-svaty-je-nas-buh.jpg,908,Svatý je náš Bůh,not available,false
,k17-chvalime-te.jpg,909,Chválíme Tě,not available,false
,k21-nauc-nas-pane-ve-chvalach-zit.jpg,910,"Nauč nás, Pane, ve chválách žít",not available,false
,k22-chvalim-te-pane.jpg,911,"Chválím Tě, Pane",not available,false
,k26-jezisi-jsi-svaty.jpg,912,"Ježíši, jsi svatý",not available,false
,k28-oslavujme-otce-syna-i-ducha.jpg,913,"Oslavujme Otce, Syna i Ducha",not available,false
,k30-muj-pan-mne-pozval.jpg,914,Můj Pán mne pozval,not available,false
,k31-raduj-se-v-panu.jpg,915,Raduj se v Pánu,not available,false
,k32-oslavujme-hospodina.jpg,916,Oslavujme Hospodina,not available,false
,k33-vyvysuj-sveho-pana.jpg,917,Vyvyšuj svého Pána,not available,false
,k36-spiritum-tuae-caritatis.jpg,918,Spiritum Tuae caritatis,not available,false
,k39-klecim-tu-pane-pred-tebou.jpg,919,"Klečím tu, Pane, před Tebou",not available,false
,k40-spiritus-est-qui-vivificat.jpg,920,Spiritus est qui vivificat,not available,false
,k44-dobry-je-buh.jpg,921,Dobrý je Bůh,not available,false
,k45-osvobod-nas-pravdou.jpg,922,Osvoboď nás pravdou,not available,false
,k52-jezis-je-muj-pan.jpg,923,Ježíš je můj Pán,not available,false
,k53-prope-est-dominus.jpg,924,Prope est Dominus,not available,false
,k55-trapeni-sva-na-pana-vkladam.jpg,925,Trápení svá na Pána vkládám,not available,false
,k59-diky.za-spaseni.jpg,926,Díky za spasení,not available,false
,k60-spolu-pejme-pisen.jpg,927,Spolu pějme píseň,not available,false
,k64-muj-pan-zije.jpg,928,Můj Pán žije,not available,false
,k66-jezis.jpg,929,Ježíš,not available,false
,k67-muj-pan-jezis.jpg,930,Můj Pán Ježíš,not available,false
,k68-otce-muj-rad-te-mam.jpg,931,"Otče můj, rád Tě mám",not available,false
,k69-pane-muj-chvalim-te.jpg,932,"Pane můj, chválím Tě",not available,false
,k71-nase-srdce-musi-byt-chramem.jpg,933,Naše srdce musí být chrámem,not available,false
,k72-otce-sjednot-nas.jpg,934,"Otče, sjednoť nás",not available,false
,k73-kazdy-den.jpg,935,Každý den,not available,false
,k90-vyvysuji-te.jpg,936,Vyvyšuji Tě,not available,false
,k94-duch-svaty-je-pan.jpg,937,Duch Svatý je Pán,not available,false
,k95-jezis-nad-kazde-jmeno.jpg,938,Ježíš nad každé jméno,not available,false
,k96-ty-jsi-muj-pan.jpg,939,Ty jsi můj Pán,not available,false
,k101-dreveny-kriz.jpg,940,Dřevěný kříž,not available,false
,k104-k-tobe-pane.jpg,941,"K Tobě, Pane",not available,false
,k105-na-hlubinu-zajed.jpg,942,Na hlubinu zajeď,not available,false
